image1.png,|     species
image737.png,|     species
0  Bari2_062|
image738.png,|     species
0  Bari2_062|
image739.png,|     species
0  Bari2_062|
image740.png,|     species
0  Bari2_062|
image741.png,|     species
0  Bari2_062|
image742.png,|     species
0  Bari2_062|
image743.png,|     species
0  Bari2_062|
image744.png,|     species
0  Bari2_062|
image745.png,|     species
0  Bari2_062|
image746.png,|     species
0  Bari2_062|
image747.png,|     species
0  Bari2_062|
image748.png,|     species
0  Bari2_062|
image749.png,|     species
0  Bari2_062|
image750.png,|     species
0  Bari2_062|
image751.png,|     species
0  Bari2_062|
image752.png,|     species
0  Bari2_062|
image753.png,|     species
0  Bari2_062|
image754.png,|     species
0  Bari2_062|
image755.png,|     species
0  Bari2_062|
image756.png,|     species
0  Bari2_062|
image757.png,|     species
0  Bari2_062|
image758.png,|     species
0  Bari2_062|
image759.png,|     species
0  Bari2_062|
image760.png,|     species
0  Bari2_062|
image761.png,|     species
0  Bari2_062|
image762.png,|     species
0  Bari2_062|
image763.png,|     species
0  Bari2_062|
image764.png,|     species
0  Bari2_062|
image765.png,|     species
0  Bari2_062|
image766.png,|     species
0  Bari2_062|
image767.png,|     species
0  Bari2_062|
image768.png,|     species
0  Bari2_062|
image769.png,|     species
0  Bari2_062|
image770.png,|     species
0  Bari2_062|
image771.png,|     species
0  Bari2_062|
image772.png,|     species
0  Bari2_062|
image773.png,|     species
0  Bari2_062|
image774.png,|     species
0  Bari2_062|
image775.png,|     species
0  Bari2_062|
image776.png,|     species
0  Bari2_062|
image777.png,|     species
0  Bari2_062|
image778.png,|     species
0  Bari2_062|
image779.png,|     species
0  Bari2_062|
image780.png,|     species
0  Bari2_062|
image781.png,|     species
0  Bari2_062|
image782.png,|     species
0  Bari2_062|
image783.png,|     species
0  Bari2_062|
image784.png,|     species
0  Bari2_062|
image785.png,|     species
0  Bari2_062|
image786.png,|     species
0  Bari2_062|
image787.png,|     species
0  Bari2_062|
image788.png,|     species
0  Bari2_062|
image789.png,|     species
0  Bari2_062|
image790.png,|     species
0  Bari2_062|
image791.png,|     species
0  Bari2_062|
image792.png,|     species
0  Bari2_062|
image793.png,|     species
0  Bari2_062|
image794.png,|     species
0  Bari2_062|
image795.png,|     species
0  Bari2_062|
image796.png,|     species
0  Bari2_062|
image797.png,|     species
0  Bari2_062|
image798.png,|     species
0  Bari2_062|
image799.png,|     species
0  Bari2_062|
image800.png,|     species
0  Bari2_062|
image801.png,|     species
0  Bari2_062|
image802.png,|     species
0  Bari2_062|
image803.png,|     species
0  Bari2_062|
image804.png,|     species
0  Bari2_062|
image805.png,|     species
0  Bari2_062|
image806.png,|     species
0  Bari2_062|
image807.png,|     species
0  Bari2_062|
image808.png,|     species
0  Bari2_062|
image809.png,|     species
0  Bari2_062|
image810.png,|     species
0  Bari2_062|
image811.png,|     species
0  Bari2_062|
image812.png,|     species
0  Bari2_062|
image813.png,|     species
0  Bari2_062|
image814.png,|     species
0  Bari2_062|
image815.png,|     species
0  Bari2_062|
image816.png,|     species
0  Bari2_062|
image817.png,|     species
0  Bari2_062|
image818.png,|     species
0  Bari2_062|
image819.png,|     species
0  Bari2_062|
image820.png,|     species
0  Bari2_062|
image821.png,|     species
0  Bari2_062|
image822.png,|     species
0  Bari2_062|
image823.png,|     species
0  Bari2_062|
image824.png,|     species
0  Bari2_062|
image825.png,|     species
0  Bari2_062|
image826.png,|     species
0  Bari2_062|
image827.png,|     species
0  Bari2_062|
image828.png,|     species
0  Bari2_062|
image829.png,|     species
0  Bari2_062|
image830.png,|     species
0  Bari2_062|
image831.png,|     species
0  Bari2_062|
image832.png,|     species
0  Bari2_062|
image833.png,|     species
0  Bari2_062|
image834.png,|     species
0  Bari2_062|
image835.png,|     species
0  Bari2_062|
image836.png,|     species
0  Bari2_062|
image837.png,|     species
0  Bari2_062|
image838.png,|     species
0  Bari2_062|
image839.png,|     species
0  Bari2_062|
image840.png,|     species
0  Bari2_062|
image841.png,|     species
0  Bari2_062|
image842.png,|     species
0  Bari2_062|
image843.png,|     species
0  Bari2_062|
image844.png,|     species
0  Bari2_062|
image845.png,|     species
0  Bari2_062|
image846.png,|     species
0  Bari2_062|
image847.png,|     species
0  Bari2_062|
image848.png,|     species
0  Bari2_062|
image849.png,|     species
0  Bari2_062|
image850.png,|     species
0  Bari2_062|
image851.png,|     species
0  Bari2_062|
image852.png,|     species
0  Bari2_062|
image853.png,|     species
0  Bari2_062|
image854.png,|     species
0  Bari2_062|
image855.png,|     species
0  Bari2_062|
image856.png,|     species
0  Bari2_062|
image857.png,|     species
0  Bari2_062|
image858.png,|     species
0  Bari2_062|
image859.png,|     species
0  Bari2_062|
image860.png,|     species
0  Bari2_062|
image861.png,|     species
0  Bari2_062|
image862.png,|     species
0  Bari2_062|
image863.png,|     species
0  Bari2_062|
image864.png,|     species
0  Bari2_062|
image865.png,|     species
0  Bari2_062|
image866.png,|     species
0  Bari2_062|
image867.png,|     species
0  Bari2_062|
image868.png,|     species
0  Bari2_062|
image869.png,|     species
0  Bari2_062|
image870.png,|     species
0  Bari2_062|
image871.png,|     species
0  Bari2_062|
image872.png,|     species
0  Bari2_062|
image873.png,|     species
0  Bari2_062|
image874.png,|     species
0  Bari2_062|
image875.png,|     species
0  Bari2_062|
image876.png,|     species
0  Bari2_062|
image877.png,|     species
0  Bari2_062|
image878.png,|     species
0  Bari2_062|
image879.png,|     species
0  Bari2_062|
image880.png,|     species
0  Bari2_062|
image881.png,|     species
0  Bari2_062|
image882.png,|     species
0  Bari2_062|
image883.png,|     species
0  Bari2_062|
image884.png,|     species
0  Bari2_062|
image885.png,|     species
0  Bari2_062|
image886.png,|     species
0  Bari2_062|
image887.png,|     species
0  Bari2_062|
image888.png,|     species
0  Bari2_062|
image889.png,|     species
0  Bari2_062|
image890.png,|     species
0  Bari2_062|
image891.png,|     species
0  Bari2_062|
image892.png,|     species
0  Bari2_062|
image893.png,|     species
0  Bari2_062|
image894.png,|     species
0  Bari2_062|
image895.png,|     species
0  Bari2_062|
image896.png,|     species
0  Bari2_062|
image897.png,|     species
0  Bari2_062|
image898.png,|     species
0  Bari2_062|
image899.png,|     species
0  Bari2_062|
image900.png,|     species
0  Bari2_062|
image901.png,|     species
0  Bari2_062|
image902.png,|     species
0  Bari2_062|
image903.png,|     species
0  Bari2_062|
image904.png,|     species
0  Bari2_062|
image905.png,|     species
0  Bari2_062|
image906.png,|     species
0  Bari2_062|
image907.png,|     species
0  Bari2_062|
image908.png,|     species
0  Bari2_062|
image909.png,|     species
0  Bari2_062|
image910.png,|     species
0  Bari2_062|
image911.png,|     species
0  Bari2_062|
image912.png,|     species
0  Bari2_062|
image913.png,|     species
0  Bari2_062|
image914.png,|     species
0  Bari2_062|
image915.png,|     species
0  Bari2_062|
image916.png,|     species
0  Bari2_062|
image917.png,|     species
0  Bari2_062|
image918.png,|     species
0  Bari2_062|
image919.png,|     species
0  Bari2_062|
image920.png,|     species
0  Bari2_062|
image921.png,|     species
0  Bari2_062|
image922.png,|     species
0  Bari2_062|
image923.png,|     species
0  Bari2_062|
image924.png,|     species
0  Bari2_062|
image925.png,|     species
0  Bari2_062|
image926.png,|     species
0  Bari2_062|
image927.png,|     species
0  Bari2_062|
image928.png,|     species
0  Bari2_062|
image929.png,|     species
0  Bari2_062|
image930.png,|     species
0  Bari2_062|
image931.png,|     species
0  Bari2_062|
image932.png,|     species
0  Bari2_062|
image933.png,|     species
0  Bari2_062|
image934.png,|     species
0  Bari2_062|
image935.png,|     species
0  Bari2_062|
image936.png,|     species
0  Bari2_062|
image937.png,|     species
0  Bari2_062|
image938.png,|     species
0  Bari2_062|
image939.png,|     species
0  Bari2_062|
image940.png,|     species
0  Bari2_062|
image941.png,|     species
0  Bari2_062|
image942.png,|     species
0  Bari2_062|
image943.png,|     species
0  Bari2_062|
image944.png,|     species
0  Bari2_062|
image945.png,|     species
0  Bari2_062|
image946.png,|     species
0  Bari2_062|
image947.png,|     species
0  Bari2_062|
image948.png,|     species
0  Bari2_062|
image949.png,|     species
0  Bari2_062|
image950.png,|     species
0  Bari2_062|
image951.png,|     species
0  Bari2_062|
image952.png,|     species
0  Bari2_062|
image953.png,|     species
0  Bari2_062|
image954.png,|     species
0  Bari2_062|
image955.png,|     species
0  Bari2_062|
image956.png,|     species
0  Bari2_062|
image957.png,|     species
0  Bari2_062|
image958.png,|     species
0  Bari2_062|
image959.png,|     species
0  Bari2_062|
image960.png,|     species
0  Bari2_062|
image961.png,|     species
0  Bari2_062|
image962.png,|     species
0  Bari2_062|
image963.png,|     species
0  Bari2_062|
image964.png,|     species
0  Bari2_062|
image965.png,|     species
0  Bari2_062|
image966.png,|     species
0  Bari2_062|
image967.png,|     species
0  Bari2_062|
image968.png,|     species
0  Bari2_062|
image969.png,|     species
0  Bari2_062|
image970.png,|     species
0  Bari2_062|
image971.png,|     species
0  Bari2_062|
image972.png,|     species
0  Bari2_062|
image973.png,|     species
0  Bari2_062|
image974.png,|     species
0  Bari2_062|
image975.png,|     species
0  Bari2_062|
image976.png,|     species
0  Bari2_062|
image977.png,|     species
0  Bari2_062|
image978.png,|     species
0  Bari2_062|
image979.png,|     species
0  Bari2_062|
image980.png,|     species
0  Bari2_062|
image981.png,|     species
0  Bari2_062|
image982.png,|     species
0  Bari2_062|
image983.png,|     species
0  Bari2_062|
image984.png,|     species
0  Bari2_062|
image985.png,|     species
0  Bari2_062|
image986.png,|     species
0  Bari2_062|
image987.png,|     species
0  Bari2_062|
image988.png,|     species
0  Bari2_062|
image989.png,|     species
0  Bari2_062|
image990.png,|     species
0  Bari2_062|
image991.png,|     species
0  Bari2_062|
image992.png,|     species
0  Bari2_062|
image993.png,|     species
0  Bari2_062|
image994.png,|     species
0  Bari2_062|
image995.png,|     species
0  Bari2_062|
image996.png,|     species
0  Bari2_062|
image997.png,|     species
0  Bari2_062|
image998.png,|     species
0  Bari2_062|
image999.png,|     species
0  Bari2_062|
image1000.png,|     species
0  Bari2_062|
image1001.png,|     species
0  Bari2_062|
image1002.png,|     species
0  Bari2_062|
image1003.png,|     species
0  Bari2_062|
image1004.png,|     species
0  Bari2_062|
image1005.png,|     species
0  Bari2_062|
image1006.png,|     species
0  Bari2_062|
image1007.png,|     species
0  Bari2_062|
image1008.png,|     species
0  Bari2_062|
image1009.png,|     species
0  Bari2_062|
image1010.png,|     species
0  Bari2_062|
image1011.png,|     species
0  Bari2_062|
image1012.png,|     species
0  Bari2_062|
image1013.png,|     species
0  Bari2_062|
image1014.png,|     species
0  Bari2_062|
image1015.png,|     species
0  Bari2_062|
image1016.png,|     species
0  Bari2_062|
image1017.png,|     species
0  Bari2_062|
image1018.png,|     species
0  Bari2_062|
image1019.png,|     species
0  Bari2_062|
image1020.png,|     species
0  Bari2_062|
image1021.png,|     species
0  Bari2_062|
image1022.png,|     species
0  Bari2_062|
image1023.png,|     species
0  Bari2_062|
image1024.png,|     species
0  Bari2_062|
image1025.png,|     species
0  Bari2_062|
image1026.png,|     species
0  Bari2_062|
image1027.png,|     species
0  Bari2_062|
image1028.png,|     species
0  Bari2_062|
image1029.png,|     species
0  Bari2_062|
image1030.png,|     species
0  Bari2_062|
image1031.png,|     species
0  Bari2_062|
image1032.png,|     species
0  Bari2_062|
image1033.png,|     species
0  Bari2_062|
image1034.png,|     species
0  Bari2_062|
image1035.png,|     species
0  Bari2_062|
image1036.png,|     species
0  Bari2_062|
image1037.png,|     species
0  Bari2_062|
image1038.png,|     species
0  Bari2_062|
image1039.png,|     species
0  Bari2_062|
image1040.png,|     species
0  Bari2_062|
image1041.png,|     species
0  Bari2_062|
image1042.png,|     species
0  Bari2_062|
image1043.png,|     species
0  Bari2_062|
image1044.png,|     species
0  Bari2_062|
image1045.png,|     species
0  Bari2_062|
image1046.png,|     species
0  Bari2_062|
image1047.png,|     species
0  Bari2_062|
image1048.png,|     species
0  Bari2_062|
image1049.png,|     species
0  Bari2_062|
image1050.png,|     species
0  Bari2_062|
image1051.png,|     species
0  Bari2_062|
image1052.png,|     species
0  Bari2_062|
image1053.png,|     species
0  Bari2_062|
image1054.png,|     species
0  Bari2_062|
image1055.png,|     species
0  Bari2_062|
image1056.png,|     species
0  Bari2_062|
image1057.png,|     species
0  Bari2_062|
image1058.png,|     species
0  Bari2_062|
image1059.png,|     species
0  Bari2_062|
image1060.png,|     species
0  Bari2_062|
image1061.png,|     species
0  Bari2_062|
image1062.png,|     species
0  Bari2_062|
image1063.png,|     species
0  Bari2_062|
image1064.png,|     species
0  Bari2_062|
image1065.png,|     species
0  Bari2_062|
image1066.png,|     species
0  Bari2_062|
image1067.png,|     species
0  Bari2_062|
image1068.png,|     species
0  Bari2_062|
image1069.png,|     species
0  Bari2_062|
image1070.png,|     species
0  Bari2_062|
image1071.png,|     species
0  Bari2_062|
image1072.png,|     species
0  Bari2_062|
image1073.png,|     species
0  Bari2_062|
image1074.png,|     species
0  Bari2_062|
image1075.png,|     species
0  Bari2_062|
image1076.png,|     species
0  Bari2_062|
image1077.png,|     species
0  Bari2_062|
image1078.png,|     species
0  Bari2_062|
image1079.png,|     species
0  Bari2_062|
image1080.png,|     species
0  Bari2_062|
image1081.png,|     species
0  Bari2_062|
image1082.png,|     species
0  Bari2_062|
image1083.png,|     species
0  Bari2_062|
image1084.png,|     species
0  Bari2_062|
image1085.png,|     species
0  Bari2_062|
image1086.png,|     species
0  Bari2_062|
image1087.png,|     species
0  Bari2_062|
image1088.png,|     species
0  Bari2_062|
image1089.png,|     species
0  Bari2_062|
image1090.png,|     species
0  Bari2_062|
image1091.png,|     species
0  Bari2_062|
image1092.png,|     species
0  Bari2_062|
image1093.png,|     species
0  Bari2_062|
image1094.png,|     species
0  Bari2_062|
image1095.png,|     species
0  Bari2_062|
image1096.png,|     species
0  Bari2_062|
image1097.png,|     species
0  Bari2_062|
image1098.png,|     species
0  Bari2_062|
image1099.png,|     species
0  Bari2_062|
image1100.png,|     species
0  Bari2_062|
image1101.png,|     species
0  Bari2_062|
image1102.png,|     species
0  Bari2_062|
image1103.png,|     species
0  Bari2_062|
image1104.png,|     species
0  Bari2_062|
image1105.png,|     species
0  Bari2_062|
image1106.png,|     species
0  Bari2_062|
image1107.png,|     species
0  Bari2_062|
image1108.png,|     species
0  Bari2_062|
image1109.png,|     species
0  Bari2_062|
image1110.png,|     species
0  Bari2_062|
image1111.png,|     species
0  Bari2_062|
image1112.png,|     species
0  Bari2_062|
image1113.png,|     species
0  Bari2_062|
image1114.png,|     species
0  Bari2_062|
image1115.png,|     species
0  Bari2_062|
image1116.png,|     species
0  Bari2_062|
image1117.png,|     species
0  Bari2_062|
image1118.png,|     species
0  Bari2_062|
image1119.png,|     species
0  Bari2_062|
image1120.png,|     species
0  Bari2_062|
image1121.png,|     species
0  Bari2_062|
image1122.png,|     species
0  Bari2_062|
image1123.png,|     species
0  Bari2_062|
image1124.png,|     species
0  Bari2_062|
image1125.png,|     species
0  Bari2_062|
image1126.png,|     species
0  Bari2_062|
image1127.png,|     species
0  Bari2_062|
image1128.png,|     species
0  Bari2_062|
image1129.png,|     species
0  Bari2_062|
image1130.png,|     species
0  Bari2_062|
image1131.png,|     species
0  Bari2_062|
image1132.png,|     species
0  Bari2_062|
image1133.png,|     species
0  Bari2_062|
image1134.png,|     species
0  Bari2_062|
image1135.png,|     species
0  Bari2_062|
image1136.png,|     species
0  Bari2_062|
image1137.png,|     species
0  Bari2_062|
image1138.png,|     species
0  Bari2_062|
image1139.png,|     species
0  Bari2_062|
image1140.png,|     species
0  Bari2_062|
image1141.png,|     species
0  Bari2_062|
image1142.png,|     species
0  Bari2_062|
image1143.png,|     species
0  Bari2_062|
image1144.png,|     species
0  Bari2_062|
image1145.png,|     species
0  Bari2_062|
image1146.png,|     species
0  Bari2_062|
image1147.png,|     species
0  Bari2_062|
image1148.png,|     species
0  Bari2_062|
image1149.png,|     species
0  Bari2_062|
image1150.png,|     species
0  Bari2_062|
image1151.png,|     species
0  Bari2_062|
image1152.png,|     species
0  Bari2_062|
image1153.png,|     species
0  Bari2_062|
image1154.png,|     species
0  Bari2_062|
image1155.png,|     species
0  Bari2_062|
image1156.png,|     species
0  Bari2_062|
image1157.png,|     species
0  Bari2_062|
image1158.png,|     species
0  Bari2_062|
image1159.png,|     species
0  Bari2_062|
image1160.png,|     species
0  Bari2_062|
image1161.png,|     species
0  Bari2_062|
image1162.png,|     species
0  Bari2_062|
image1163.png,|     species
0  Bari2_062|
image1164.png,|     species
0  Bari2_062|
image1165.png,|     species
0  Bari2_062|
image1166.png,|     species
0  Bari2_062|
image1167.png,|     species
0  Bari2_062|
image1168.png,|     species
0  Bari2_062|
image1169.png,|     species
0  Bari2_062|
image1170.png,|     species
0  Bari2_062|
image1171.png,|     species
0  Bari2_062|
image1172.png,|     species
0  Bari2_062|
image1173.png,|     species
0  Bari2_062|
image1174.png,|     species
0  Bari2_062|
image1175.png,|     species
0  Bari2_062|
image1176.png,|     species
0  Bari2_062|
image1177.png,|     species
0  Bari2_062|
image1178.png,|     species
0  Bari2_062|
image1179.png,|     species
0  Bari2_062|
image1180.png,|     species
0  Bari2_062|
image1181.png,|     species
0  Bari2_062|
image1182.png,|     species
0  Bari2_062|
image1183.png,|     species
0  Bari2_062|
image1184.png,|     species
0  Bari2_062|
image1185.png,|     species
0  Bari2_062|
image1186.png,|     species
0  Bari2_062|
image1187.png,|     species
0  Bari2_062|
image1188.png,|     species
0  Bari2_062|
image1189.png,|     species
0  Bari2_062|
image1190.png,|     species
0  Bari2_062|
image1191.png,|     species
0  Bari2_062|
image1192.png,|     species
0  Bari2_062|
image1193.png,|     species
0  Bari2_062|
image1194.png,|     species
0  Bari2_062|
image1195.png,|     species
0  Bari2_062|
image1196.png,|     species
0  Bari2_062|
image1197.png,|     species
0  Bari2_062|
image1198.png,|     species
0  Bari2_062|
image1199.png,|     species
0  Bari2_062|
image1200.png,|     species
0  Bari2_062|
image1201.png,|     species
0  Bari2_062|
image1202.png,|     species
0  Bari2_062|
image1203.png,|     species
0  Bari2_062|
image1204.png,|     species
0  Bari2_062|
image1205.png,|     species
0  Bari2_062|
image1206.png,|     species
0  Bari2_062|
image1207.png,|     species
0  Bari2_062|
image1208.png,|     species
0  Bari2_062|
image1209.png,|     species
0  Bari2_062|
image1210.png,|     species
0  Bari2_062|
image1211.png,|     species
0  Bari2_062|
image1212.png,|     species
0  Bari2_062|
image1213.png,|     species
0  Bari2_062|
image1214.png,|     species
0  Bari2_062|
image1215.png,|     species
0  Bari2_062|
image1216.png,|     species
0  Bari2_062|
image1217.png,|     species
0  Bari2_062|
image1218.png,|     species
0  Bari2_062|
image1219.png,|     species
0  Bari2_062|
image1220.png,|     species
0  Bari2_062|
image1221.png,|     species
0  Bari2_062|
image1222.png,|     species
0  Bari2_062|
image1223.png,|     species
0  Bari2_062|
image1224.png,|     species
0  Bari2_062|
image1225.png,|     species
0  Bari2_062|
image1226.png,|     species
0  Bari2_062|
image1227.png,|     species
0  Bari2_062|
image1228.png,|     species
0  Bari2_062|
image1229.png,|     species
0  Bari2_062|
image1230.png,|     species
0  Bari2_062|
image1231.png,|     species
0  Bari2_062|
image1232.png,|     species
0  Bari2_062|
image1233.png,|     species
0  Bari2_062|
image1234.png,|     species
0  Bari2_062|
image1235.png,|     species
0  Bari2_062|
image1236.png,|     species
0  Bari2_062|
image1237.png,|     species
0  Bari2_062|
image1238.png,|     species
0  Bari2_062|
image1239.png,|     species
0  Bari2_062|
image1240.png,|     species
0  Bari2_062|
image1241.png,|     species
0  Bari2_062|
image1242.png,|     species
0  Bari2_062|
image1243.png,|     species
0  Bari2_062|
image1244.png,|     species
0  Bari2_062|
image1245.png,|     species
0  Bari2_062|
image1246.png,|     species
0  Bari2_062|
image1247.png,|     species
0  Bari2_062|
image1248.png,|     species
0  Bari2_062|
image1249.png,|     species
0  Bari2_062|
image1250.png,|     species
0  Bari2_062|
image1251.png,|     species
0  Bari2_062|
image1252.png,|     species
0  Bari2_062|
image1253.png,|     species
0  Bari2_062|
image1254.png,|     species
0  Bari2_062|
image1255.png,|     species
0  Bari2_062|
image1256.png,|     species
0  Bari2_062|
image1257.png,|     species
0  Bari2_062|
image1258.png,|     species
0  Bari2_062|
image1259.png,|     species
0  Bari2_062|
image1260.png,|     species
0  Bari2_062|
image1261.png,|     species
0  Bari2_062|
image1262.png,|     species
0  Bari2_062|
image1263.png,|     species
0  Bari2_062|
image1264.png,|     species
0  Bari2_062|
image1265.png,|     species
0  Bari2_062|
image1266.png,|     species
0  Bari2_062|
image1267.png,|     species
0  Bari2_062|
image1268.png,|     species
0  Bari2_062|
image1269.png,|     species
0  Bari2_062|
image1270.png,|     species
0  Bari2_062|
image1271.png,|     species
0  Bari2_062|
image1272.png,|     species
0  Bari2_062|
image1273.png,|     species
0  Bari2_062|
image1274.png,|     species
0  Bari2_062|
image1275.png,|     species
0  Bari2_062|
image1276.png,|     species
0  Bari2_062|
image1277.png,|     species
0  Bari2_062|
image1278.png,|     species
0  Bari2_062|
image1279.png,|     species
0  Bari2_062|
image1280.png,|     species
0  Bari2_062|
image1281.png,|     species
0  Bari2_062|
image1282.png,|     species
0  Bari2_062|
image1283.png,|     species
0  Bari2_062|
image1284.png,|     species
0  Bari2_062|
image1285.png,|     species
0  Bari2_062|
image1286.png,|     species
0  Bari2_062|
image1287.png,|     species
0  Bari2_062|
image1288.png,|     species
0  Bari2_062|
image1289.png,|     species
0  Bari2_062|
image1290.png,|     species
0  Bari2_062|
image1291.png,|     species
0  Bari2_062|
image1292.png,|     species
0  Bari2_062|
image1293.png,|     species
0  Bari2_062|
image1294.png,|     species
0  Bari2_062|
image1295.png,|     species
0  Bari2_062|
image1296.png,|     species
0  Bari2_062|
image1297.png,|     species
0  Bari2_062|
image1298.png,|     species
0  Bari2_062|
image1299.png,|     species
0  Bari2_062|
image1300.png,|     species
0  Bari2_062|
image1301.png,|     species
0  Bari2_062|
image1302.png,|     species
0  Bari2_062|
image1303.png,|     species
0  Bari2_062|
image1304.png,|     species
0  Bari2_062|
image1305.png,|     species
0  Bari2_062|
image1306.png,|     species
0  Bari2_062|
image1307.png,|     species
0  Bari2_062|
image1308.png,|     species
0  Bari2_062|
image1309.png,|     species
0  Bari2_062|
image1310.png,|     species
0  Bari2_062|
image1311.png,|     species
0  Bari2_062|
image1312.png,|     species
0  Bari2_062|
image1313.png,|     species
0  Bari2_062|
image1314.png,|     species
0  Bari2_062|
image1315.png,|     species
0  Bari2_062|
image1316.png,|     species
0  Bari2_062|
image1317.png,|     species
0  Bari2_062|
image1318.png,|     species
0  Bari2_062|
image1319.png,|     species
0  Bari2_062|
image1320.png,|     species
0  Bari2_062|
image1321.png,|     species
0  Bari2_062|
image1322.png,|     species
0  Bari2_062|
image1323.png,|     species
0  Bari2_062|
image1324.png,|     species
0  Bari2_062|
image1325.png,|     species
0  Bari2_062|
image1326.png,|     species
0  Bari2_062|
image1327.png,|     species
0  Bari2_062|
image1328.png,|     species
0  Bari2_062|
image1329.png,|     species
0  Bari2_062|
image1330.png,|     species
0  Bari2_062|
image1331.png,|     species
0  Bari2_062|
image1332.png,|     species
0  Bari2_062|
image1333.png,|     species
0  Bari2_062|
image1334.png,|     species
0  Bari2_062|
image1335.png,|     species
0  Bari2_062|
image1336.png,|     species
0  Bari2_062|
image1337.png,|     species
0  Bari2_062|
image1338.png,|     species
0  Bari2_062|
image1339.png,|     species
0  Bari2_062|
image1340.png,|     species
0  Bari2_062|
image1341.png,|     species
0  Bari2_062|
image1342.png,|     species
0  Bari2_062|
image1343.png,|     species
0  Bari2_062|
image1344.png,|     species
0  Bari2_062|
image1345.png,|     species
0  Bari2_062|
image1346.png,|     species
0  Bari2_062|
image1347.png,|     species
0  Bari2_062|
image1348.png,|     species
0  Bari2_062|
image1349.png,|     species
0  Bari2_062|
image1350.png,|     species
0  Bari2_062|
image1351.png,|     species
0  Bari2_062|
image1352.png,|     species
0  Bari2_062|
image1353.png,|     species
0  Bari2_062|
image1354.png,|     species
0  Bari2_062|
image1355.png,|     species
0  Bari2_062|
image1356.png,|     species
0  Bari2_062|
image1357.png,|     species
0  Bari2_062|
image1358.png,|     species
0  Bari2_062|
image1359.png,|     species
0  Bari2_062|
image1360.png,|     species
0  Bari2_062|
image1361.png,|     species
0  Bari2_062|
image1362.png,|     species
0  Bari2_062|
image1363.png,|     species
0  Bari2_062|
image1364.png,|     species
0  Bari2_062|
image1365.png,|     species
0  Bari2_062|
image1366.png,|     species
0  Bari2_062|
image1367.png,|     species
0  Bari2_062|
image1368.png,|     species
0  Bari2_062|
image1369.png,|     species
0  Bari2_062|
image1370.png,|     species
0  Bari2_062|
image1371.png,|     species
0  Bari2_062|
image1372.png,|     species
0  Bari2_062|
image1373.png,|     species
0  Bari2_062|
image1374.png,|     species
0  Bari2_062|
image1375.png,|     species
0  Bari2_062|
image1376.png,|     species
0  Bari2_062|
image1377.png,|     species
0  Bari2_062|
image1378.png,|     species
0  Bari2_062|
image1379.png,|     species
0  Bari2_062|
image1380.png,|     species
0  Bari2_062|
image1381.png,|     species
0  Bari2_062|
image1382.png,|     species
0  Bari2_062|
image1383.png,|     species
0  Bari2_062|
image1384.png,|     species
0  Bari2_062|
image1385.png,|     species
0  Bari2_062|
image1386.png,|     species
0  Bari2_062|
image1387.png,|     species
0  Bari2_062|
image1388.png,|     species
0  Bari2_062|
image1389.png,|     species
0  Bari2_062|
image1390.png,|     species
0  Bari2_062|
image1391.png,|     species
0  Bari2_062|
image1392.png,|     species
0  Bari2_062|
image1393.png,|     species
0  Bari2_062|
image1394.png,|     species
0  Bari2_062|
image1395.png,|     species
0  Bari2_062|
image1396.png,|     species
0  Bari2_062|
image1397.png,|     species
0  Bari2_062|
image1398.png,|     species
0  Bari2_062|
image1399.png,|     species
0  Bari2_062|
image1400.png,|     species
0  Bari2_062|
image1401.png,|     species
0  Bari2_062|
image1402.png,|     species
0  Bari2_062|
image1403.png,|     species
0  Bari2_062|
image1404.png,|     species
0  Bari2_062|
image1405.png,|     species
0  Bari2_062|
image1406.png,|     species
0  Bari2_062|
image1407.png,|     species
0  Bari2_062|
image1408.png,|     species
0  Bari2_062|
image1409.png,|     species
0  Bari2_062|
image1410.png,|     species
0  Bari2_062|
image1411.png,|     species
0  Bari2_062|
image1412.png,|     species
0  Bari2_062|
image1413.png,|     species
0  Bari2_062|
image1414.png,|     species
0  Bari2_062|
image1415.png,|     species
0  Bari2_062|
image1416.png,|     species
0  Bari2_062|
image1417.png,|     species
0  Bari2_062|
image1418.png,|     species
0  Bari2_062|
image1419.png,|     species
0  Bari2_062|
image1420.png,|     species
0  Bari2_062|
image1421.png,|     species
0  Bari2_062|
image1422.png,|     species
0  Bari2_062|
image1423.png,|     species
0  Bari2_062|
image1424.png,|     species
0  Bari2_062|
image1425.png,|     species
0  Bari2_062|
image1426.png,|     species
0  Bari2_062|
image1427.png,|     species
0  Bari2_062|
image1428.png,|     species
0  Bari2_062|
image1429.png,|     species
0  Bari2_062|
image1430.png,|     species
0  Bari2_062|
image1431.png,|     species
0  Bari2_062|
image1432.png,|     species
0  Bari2_062|
image1433.png,|     species
0  Bari2_062|
image1434.png,|     species
0  Bari2_062|
image1435.png,|     species
0  Bari2_062|
image1436.png,|     species
0  Bari2_062|
image1437.png,|     species
0  Bari2_062|
image1438.png,|     species
0  Bari2_062|
image1439.png,|     species
0  Bari2_062|
image1440.png,|     species
0  Bari2_062|
image1441.png,|     species
0  Bari2_062|
image1442.png,|     species
0  Bari2_062|
image1443.png,|     species
0  Bari2_062|
image1444.png,|     species
0  Bari2_062|
image1445.png,|     species
0  Bari2_062|
image1446.png,|     species
0  Bari2_062|
image1447.png,|     species
0  Bari2_062|
image1448.png,|     species
0  Bari2_062|
image1449.png,|     species
